fighter,total_time_fought(seconds),total_rounds_fought,total_title_bouts,current_win_streak,current_lose_streak,longest_win_streak,wins,losses,draw,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,Stance,Height_cms,Reach_cms,Weight_lbs,age
Brock Larson,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Southpaw,180.34,180.34,170,31
Brodie Farber,97,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,,170,28
Bryan Barberena,852,6,0,1,0,1,1,1,0,0,0,0,1,0,0,Southpaw,182.88,182.88,170,26
Callan Potter,476.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,182.88,170,35
Carlo Pedersoli Jr.,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Southpaw,180.34,190.5,170,25
Carlos Condit,1219.96875,21,2,0,1,5,5,2,0,0,1,1,3,0,0,Orthodox,187.96,190.5,170,28
Carlos Eduardo Rocha,520.5,4,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,185.42,170,30
Carlos Newton,811,12,4,1,0,1,2,3,0,0,0,0,0,2,0,Orthodox,175.26,,170,26
Cathal Pendred,875.8125,14,0,4,0,4,4,1,0,0,1,2,0,1,0,Orthodox,185.42,190.5,170,28
Cezar Ferreira,422.71875,12,1,3,0,3,4,2,0,0,1,2,0,1,0,Southpaw,185.42,198.12,185,30
Chad Laprise,546.4375,17,1,3,0,3,5,2,0,0,1,2,2,0,0,Orthodox,177.8,180.34,170,31
Chad Reiner,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,25
Chance Rencountre,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,187.96,190.5,170,32
Charlie Brenneman,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,177.8,177.8,155,29
Charlie Ward,53,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,36
Che Mills,240,3,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,185.42,193.04,170,30
Chris Brennan,542,1,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,,170,30
Chris Clements,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,177.8,177.8,170,36
Chris Cope,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,182.88,182.88,170,28
Chris Heatherly,138,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,,155,26
Chris Indich,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,,177.8,,170,27
Chris Lytle,861.5682373,36,1,0,2,2,6,9,0,0,0,2,1,3,0,Orthodox,180.34,172.72,170,35
Chris Wilson,900,9,0,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,185.42,190.5,170,32
Christian Aguilera,59,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Switch,175.26,182.88,170,28
Claude Patrick,777,8,0,3,0,3,3,0,0,0,0,2,0,1,0,Orthodox,180.34,190.5,170,31
Claudio Silva,900,6,0,2,0,2,2,0,0,0,1,1,0,0,0,Southpaw,180.34,180.34,170,35
Clay Harvison,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,185.42,187.96,170,30
CM Punk,134,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,39
Colby Covington,1395.839844,38,2,3,0,7,10,2,0,0,0,6,2,2,0,Orthodox,180.34,182.88,170,32
Cole Williams,155,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,36
Colton Smith,900,3,1,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,182.88,180.34,155,25
Conor McGregor,899.3056641,24,4,7,0,7,9,2,0,1,0,1,7,0,0,Southpaw,175.26,187.96,155,31
Court McGee,897.6640625,26,1,3,0,3,6,3,0,0,1,3,0,2,0,Orthodox,180.34,190.5,170,31
Craig White,272,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,193.04,170,28
Curtis Millender,814.25,8,0,3,0,3,3,0,0,0,0,2,1,0,0,Orthodox,187.96,193.04,170,31
Daichi Abe,900,6,0,1,0,1,1,1,0,0,0,1,0,0,0,Orthodox,180.34,180.34,170,26
Daiju Takase,590.5,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,182.88,,170,22
DaMarques Johnson,533.625,7,1,0,1,2,2,2,0,0,0,0,1,1,0,Orthodox,185.42,190.5,170,28
Dan Cramer,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,187.96,,170,23
Dan Hardy,1148.0625,15,1,4,0,4,4,1,0,0,2,1,1,0,0,Orthodox,182.88,187.96,170,28
Dan Miller,864.7050781,25,0,3,0,3,5,5,0,0,1,1,0,3,0,Orthodox,185.42,187.96,185,30
Dan Stittgen,253,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,,170,31
Daniel Roberts,739.59375,12,0,0,1,3,3,3,0,0,1,0,0,2,0,Southpaw,177.8,187.96,170,31
Daniel Rodriguez,708.5,5,0,2,0,2,2,0,0,0,0,1,0,1,0,Southpaw,185.42,187.96,170,33
Daniel Sarafian,710,7,0,0,1,1,1,2,0,0,0,0,0,1,0,Orthodox,175.26,185.42,185,31
Danny Mitchell,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,187.96,,170,28
Danny Roberts,706.5,7,0,2,0,2,2,1,0,0,0,1,0,1,0,Southpaw,185.42,187.96,170,30
Darren Till,1024.28125,17,0,1,0,4,5,1,0,0,0,3,2,0,0,Southpaw,182.88,187.96,185,25
Dave Menne,647.5,14,2,2,0,2,2,3,0,0,0,2,0,0,0,Orthodox,177.8,,170,32
Dave Strasser,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,177.8,,170,34
David Mitchell,900,9,0,0,2,1,1,2,0,0,0,1,0,0,0,Orthodox,182.88,190.5,170,33
David Zawada,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,28
Demian Maia,1249.496655,78,2,5,0,7,19,9,0,0,1,8,1,9,0,Southpaw,185.42,182.88,170,41
Dennis Hallman,849.6875,16,1,1,0,1,2,4,0,0,0,1,0,1,0,Orthodox,175.26,182.88,155,34
Derrick Krantz,232,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,182.88,170,31
Dhiego Lima,760.2851563,18,2,0,1,3,4,5,0,0,2,1,1,0,0,Orthodox,187.96,190.5,170,32
Diego Sanchez,1102.50415,34,2,6,0,6,10,3,0,0,1,4,5,0,0,Southpaw,177.8,182.88,170,28
Dominic Waters,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,200.66,170,26
Dominique Steele,758.75,10,0,0,1,1,1,3,0,0,0,0,1,0,0,Orthodox,177.8,187.96,170,29
Donald Cerrone,941.7108723,60,1,4,0,8,20,8,0,0,0,6,9,5,0,Orthodox,185.42,185.42,155,35
Dong Hyun Kim,891.40625,18,0,2,0,3,5,1,0,0,1,3,1,0,0,Southpaw,187.96,193.04,170,29
Drew Dober,297.484375,17,0,0,2,2,4,5,0,0,0,1,2,1,0,Southpaw,172.72,177.8,155,29
Drew Fickett,694.34375,12,0,0,1,2,3,3,0,0,0,0,0,3,0,Orthodox,177.8,177.8,155,27
Duane Ludwig,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,177.8,177.8,170,27
Dustin Hazelett,569.5,4,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,185.42,193.04,170,21
Dwight Grant,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,185.42,193.04,170,34
Edgar Garcia,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,180.34,170,25
Edilberto de Oliveira,637,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,24
Elizeu Zaleski dos Santos,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,185.42,170,29
Emil Meek,900,9,0,1,0,1,1,2,0,0,0,1,0,0,0,Switch,180.34,187.96,170,31
Erick Montano,900,3,1,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,182.88,185.42,170,30
Erick Silva,663.0310059,23,0,1,0,2,7,6,0,0,0,0,2,5,0,Orthodox,182.88,187.96,170,32
Erik Koch,772.140625,19,0,2,0,2,4,5,0,0,0,1,2,1,0,Southpaw,177.8,180.34,170,30
Fabiano Iha,490.5,4,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,172.72,,155,30
Forrest Petz,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,175.26,180.34,170,31
Frank Camacho,900,9,0,0,1,1,1,2,0,0,1,0,0,0,0,Orthodox,177.8,185.42,170,29
Frank Trigg,337.75,4,1,0,1,2,2,1,0,0,0,0,2,0,0,Southpaw,175.26,180.34,170,32
Gabe Green,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,177.8,185.42,170,27
Galore Bofando,130,1,0,1,0,1,1,0,0,0,0,0,1,0,0,Switch,180.34,182.88,170,35
Gasan Umalatov,900,9,0,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,180.34,180.34,170,33
Geoff Neal,587.75,6,0,3,0,3,3,0,0,0,0,1,1,1,0,Southpaw,180.34,190.5,170,28
George Sotiropoulos,96,1,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,177.8,180.34,155,30
George Sullivan,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,182.88,185.42,170,33
Georges St-Pierre,1494.139114,63,13,2,0,11,18,2,0,0,1,10,5,2,0,Orthodox,180.34,193.04,185,32
Gil Castillo,1500,5,1,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,175.26,,170,36
Gilbert Burns,993.7979126,36,0,3,0,6,12,3,0,0,0,5,3,4,0,Orthodox,177.8,180.34,170,34
Greg Soto,795,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,180.34,185.42,170,24
Gunnar Nelson,1001.125,12,0,4,0,4,4,1,0,0,0,1,0,3,0,Switch,180.34,182.88,170,26
Hayder Hassan,379,2,1,0,1,0,0,1,0,0,0,0,0,0,0,,177.8,,170,33
Hector Aldana,742.5,5,0,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,31
Hector Lombard,779.6875,14,0,0,1,2,3,3,0,0,0,1,2,0,0,Southpaw,175.26,180.34,185,38
Hector Urbina,559,4,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,180.34,185.42,170,29
Hernani Perpetuo,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,29
Hyun Gyu Lim,944.5,8,0,2,0,2,2,1,0,0,0,0,2,0,0,Orthodox,190.5,195.58,170,29
Igor Araujo,900,6,0,2,0,2,2,0,0,0,0,2,0,0,0,Orthodox,185.42,195.58,170,33
Ildemar Alcantara,844.875,11,0,2,0,2,3,1,0,0,1,1,0,1,0,Orthodox,187.96,198.12,185,31
Ismail Naurdiev,900,9,0,1,0,1,2,1,0,0,0,2,0,0,0,Orthodox,177.8,187.96,170,23
Jacob Volkmann,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,175.26,180.34,155,29
Jake Ellenberger,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,175.26,180.34,170,24
Jake Hecht,370,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Orthodox,182.88,185.42,170,28
Jake Matthews,861.5285645,34,0,2,0,3,10,4,0,0,1,4,0,4,1,Orthodox,180.34,185.42,170,26
Jake Shields,1200,8,1,1,0,1,1,1,0,0,1,0,0,0,0,Orthodox,182.88,182.88,170,32
James Head,813,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,185.42,170,28
James Krause,841.8320313,21,0,1,0,4,6,3,0,0,0,3,1,2,0,Orthodox,187.96,185.42,170,32
James Moontasri,622.8125,10,0,0,1,1,2,3,0,0,0,0,1,1,0,Switch,177.8,180.34,170,28
James Vick,398.6157227,26,0,5,0,5,9,4,0,0,0,4,2,3,0,Orthodox,190.5,193.04,155,32
James Wilks,710.25,7,1,1,0,1,2,1,0,0,0,1,0,1,0,Orthodox,185.42,190.5,170,32
Jason Gilliam,94,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,
Jason High,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,172.72,185.42,155,31
Jason Tan,75,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,26
Jason Von Flue,788.5,6,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,182.88,,170,31
Jason Witt,238.5,3,0,0,1,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,177.8,170,34
Jay Hieron,641.75,7,0,0,3,0,0,3,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,36
Jeremy Jackson,724,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,24
Jess Liaudin,165.5,2,0,2,0,2,2,0,0,0,0,0,1,1,0,Orthodox,175.26,182.88,170,
Jesse Lennox,858.5,6,0,1,0,1,1,1,0,0,0,0,0,0,1,Orthodox,175.26,182.88,170,28
Jesse Ronson,900,9,0,0,3,0,0,3,0,0,0,0,0,0,0,Southpaw,177.8,177.8,170,34
Jesse Taylor,238,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,34
Jessin Ayari,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,182.88,185.42,155,24
Jim Wallhead,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,33
Joao Zeferino,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,27
Joe Proctor,391.859375,14,0,1,0,2,4,3,0,0,0,1,2,1,0,Orthodox,177.8,182.88,155,31
Joe Riggs,380.25,5,0,1,0,1,2,1,0,0,0,0,1,0,1,Southpaw,182.88,177.8,185,23
Joe Stevenson,900,3,1,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,170.18,177.8,145,23
John Alessio,651.5,5,1,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,177.8,182.88,155,27
John Hathaway,895.125,22,0,4,0,4,7,1,0,0,1,5,1,0,0,Orthodox,185.42,190.5,170,26
John Howard,900,6,0,2,0,2,2,0,0,0,2,0,0,0,0,Orthodox,170.18,182.88,170,26
John Maguire,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Southpaw,175.26,175.26,155,28
Johnny Rees,261,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,26
Johny Hendricks,1389.422974,39,3,4,0,6,11,3,0,1,2,3,5,0,0,Southpaw,175.26,175.26,185,31
Jon Fitch,1150.011719,25,1,8,0,8,8,1,0,0,1,3,1,3,0,Orthodox,182.88,187.96,170,30
Jonathan Goulet,665,3,0,1,0,1,1,0,0,0,0,0,0,0,1,Orthodox,182.88,185.42,170,26
Jonathan Meunier,654,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Switch,190.5,,170,29
Jonavin Webb,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,26
Jordan Mein,830.015625,18,0,1,0,2,4,4,0,0,1,1,2,0,0,Orthodox,182.88,185.42,170,28
Jorge Lopez,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,,170,23
Jorge Masvidal,1039.324219,26,0,2,0,3,6,3,0,0,0,4,1,1,0,Orthodox,180.34,187.96,170,31
Jorge Santiago,717.125,11,0,1,0,1,1,4,0,0,0,0,1,0,0,Orthodox,185.42,190.5,170,32
Josh Haynes,727,5,1,0,2,0,0,2,0,0,0,0,0,0,0,Orthodox,175.26,,170,29
Josh Koscheck,1075.271011,40,1,2,0,5,13,5,0,0,0,5,5,3,0,Orthodox,177.8,185.42,170,33
Josh Neer,846.0839844,25,0,0,1,2,4,6,0,0,0,2,0,2,0,Orthodox,180.34,182.88,170,28
Joshua Burkman,881.890625,19,0,2,0,2,5,3,0,0,1,2,1,1,0,Orthodox,177.8,182.88,170,28
Julio Paulino,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,34
Justin Edwards,900,9,0,0,1,1,1,2,0,0,0,1,0,0,0,Orthodox,177.8,177.8,155,29
Jutaro Nakao,315,2,0,1,0,1,1,0,0,0,0,0,1,0,0,Southpaw,175.26,,170,31
Kamaru Usman,1462.776855,43,4,12,0,12,12,0,0,0,0,9,2,1,0,Switch,182.88,193.04,170,33
Karo Parisyan,879.4453125,26,0,1,0,4,8,2,0,0,1,5,1,1,0,Orthodox,177.8,182.88,170,25
Keita Nakamura,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Southpaw,180.34,185.42,170,22
Keith Wisniewski,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,,170,29
Kelvin Gastelum,1080.734375,21,1,5,0,5,6,2,0,0,2,1,1,2,0,Southpaw,175.26,180.34,185,24
Kenichi Yamamoto,727.5,5,1,2,0,2,2,0,0,0,0,1,0,1,0,Orthodox,182.88,,170,24
Kenny Florian,320.5,3,1,0,1,1,1,1,0,0,0,0,0,0,1,Southpaw,177.8,187.96,145,29
Kenny Robertson,650.0546875,17,0,0,2,3,4,4,0,0,0,1,1,2,0,Orthodox,177.8,187.96,170,32
Kevin Burns,775.125,11,0,2,0,2,2,2,0,0,0,0,1,1,0,Orthodox,177.8,187.96,170,29
Kevin Lee,1238.25,36,1,0,1,5,10,4,0,0,1,3,1,4,1,Orthodox,175.26,195.58,170,26
Khamzat Chimaev,372,2,0,1,0,1,1,0,0,0,0,0,0,1,0,Orthodox,187.96,190.5,170,26
Khaos Williams,28.5,2,0,2,0,2,2,0,0,0,0,0,2,0,0,Orthodox,182.88,195.58,170,26
Kiichi Kunimoto,609.625,8,0,3,0,3,3,1,0,0,1,0,0,1,0,Orthodox,177.8,180.34,170,36
KJ Noons,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,177.8,177.8,155,31
Koji Oishi,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,,170,28
Kris McCray,521,2,1,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,29
Kuniyoshi Hironaka,900,6,0,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,177.8,177.8,168,31
Kyle Noke,753.2421875,16,0,3,0,3,5,3,0,0,1,0,2,2,0,Southpaw,185.42,193.04,170,35
Kyle Stewart,145,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,193.04,170,30
Lance Benoist,900,9,0,1,0,1,1,2,0,0,0,1,0,0,0,Southpaw,180.34,182.88,170,25
Laureano Staropoli,900,9,0,2,0,2,2,1,0,0,0,2,0,0,0,Orthodox,185.42,180.34,170,27
Laverne Clark,573.25,5,0,3,0,3,3,0,0,1,0,0,1,0,1,Orthodox,180.34,,170,26
Leandro Silva,521.25,9,0,0,2,1,1,3,0,0,0,0,0,1,0,Orthodox,175.26,182.88,155,29
Leon Edwards,1273.572266,38,0,0,1,8,10,2,0,0,1,6,2,1,0,Southpaw,187.96,187.96,170,29
Leonardo Mafra,641,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,25
Li Jingliang,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,182.88,180.34,170,26
Lorenz Larkin,790.171875,22,0,0,1,2,4,5,0,0,1,1,2,0,0,Orthodox,180.34,182.88,170,29
Luan Chagas,900,3,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,182.88,190.5,170,23
Luigi Fioravanti,859.1171875,19,0,0,1,2,4,4,0,0,0,2,2,0,0,Orthodox,172.72,177.8,170,28
Luis Ramos,40,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,172.72,,170,31
Luiz Dutra,177,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,180.34,,170,33
Luke Cummo,900,6,1,0,1,1,1,1,0,0,0,1,0,0,0,Orthodox,182.88,187.96,170,26
Luke Jumeau,900,3,0,1,0,1,1,0,0,0,0,1,0,0,0,Orthodox,180.34,182.88,170,29
Lyman Good,708.5,5,0,1,0,1,1,1,0,0,0,0,1,0,0,Orthodox,182.88,187.96,170,33
Marcelo Guimaraes,900,3,0,1,0,1,1,0,0,0,1,0,0,0,0,Orthodox,182.88,185.42,185,29
Marcio Alexandre Junior,762.5,6,1,0,2,0,0,2,0,0,0,0,0,0,0,Southpaw,182.88,190.5,185,26
Marcus Davis,796.6806641,22,0,0,1,6,8,3,0,0,1,1,2,4,0,Southpaw,177.8,177.8,170,36
Martin Kampmann,863.3483887,26,0,4,0,4,9,4,0,0,2,2,1,4,0,Orthodox,182.88,182.88,170,29
Mats Nilsson,264,1,0,0,1,0,0,1,0,0,0,0,0,0,0,Orthodox,185.42,,170,31
Matt Arroyo,401,3,0,1,0,1,1,1,0,0,0,0,0,1,0,Orthodox,177.8,182.88,170,26
Matt Brown,992.2177582,42,0,1,0,7,12,6,0,0,0,2,9,1,0,Orthodox,182.88,190.5,170,34
